airport_code,airport_name,state,city
ABE, Lehigh Valley International, PA,Allentown/Bethlehem/Easton
ABY, Southwest Georgia Regional, GA,Albany
ACK, Nantucket Memorial, MA,Nantucket
AEX, Alexandria International, LA,Alexandria
AGS, Augusta Regional at Bush Field, GA,Augusta
ALB, Albany International, NY,Albany
ATL, Hartsfield-Jackson Atlanta International, GA,Atlanta
ATW, Appleton International, WI,Appleton
AUS, Austin - Bergstrom International, TX,Austin
AVL, Asheville Regional, NC,Asheville
AZO, Kalamazoo/Battle Creek International, MI,Kalamazoo
BGM, Greater Binghamton/Edwin A. Link Field, NY,Binghamton
BGR, Bangor International, ME,Bangor
BHM, Birmingham-Shuttlesworth International, AL,Birmingham
BMI, Central Il Regional Airport at Bloomington, IL,Bloomington/Normal
BNA, Nashville International, TN,Nashville
BOS, Logan International, MA,Boston
BQK, Brunswick Golden Isles, GA,Brunswick
BTR, Baton Rouge Metropolitan/Ryan Field, LA,Baton Rouge
BTV, Burlington International, VT,Burlington
BUF, Buffalo Niagara International, NY,Buffalo
BWI, Baltimore/Washington International Thurgood Marshall, MD,Baltimore
CAE, Columbia Metropolitan, SC,Columbia
CHA, Lovell Field, TN,Chattanooga
CHO, Charlottesville Albemarle, VA,Charlottesville
CHS, Charleston AFB/International, SC,Charleston
CID, The Eastern Iowa, IA,Cedar Rapids/Iowa City
CLE, Cleveland-Hopkins International, OH,Cleveland
CLT, Charlotte Douglas International, NC,Charlotte
CMH, John Glenn Columbus International, OH,Columbus
CRW, Yeager, WV,Charleston/Dunbar
CSG, Columbus Airport, GA,Columbus
CVG, Cincinnati/Northern Kentucky International, OH,Cincinnati
CWA, Central Wisconsin, WI,Mosinee
DAY, James M Cox/Dayton International, OH,Dayton
DCA, Ronald Reagan Washington National, DC,Washington
DHN, Dothan Regional, AL,Dothan
DLH, Duluth International, MN,Duluth
DSM, Des Moines International, IA,Des Moines
DTW, Detroit Metro Wayne County, MI,Detroit
EVV, Evansville Regional, IN,Evansville
EWR, Newark Liberty International, NJ,Newark
EYW, Key West International, FL,Key West
FAY, Fayetteville Regional/Grannis Field, NC,Fayetteville
FSD, Joe Foss Field, SD,Sioux Falls
FWA, Fort Wayne International, IN,Fort Wayne
GNV, Gainesville Regional, FL,Gainesville
GPT, Gulfport-Biloxi International, MS,Gulfport/Biloxi
GRR, Gerald R. Ford International, MI,Grand Rapids
GSO, Piedmont Triad International, NC,Greensboro/High Point
GSP, Greenville-Spartanburg International, SC,Greer
GTR, Golden Triangle Regional, MS,Columbus
HPN, Westchester County, NY,White Plains
ILM, Wilmington International, NC,Wilmington
IND, Indianapolis International, IN,Indianapolis
ITH, Ithaca Tompkins Regional, NY,Ithaca/Cortland
JFK, John F. Kennedy International, NY,New York
LAN, Capital Region International, MI,Lansing
LEX, Blue Grass, KY,Lexington
LFT, Lafayette Regional Paul Fournet Field, LA,Lafayette
LGA, LaGuardia, NY,New York
MBS, MBS International, MI,Saginaw/Bay City/Midland
MCI, Kansas City International, MO,Kansas City
MEM, Memphis International, TN,Memphis
MGM, Montgomery Regional, AL,Montgomery
MKE, General Mitchell International, WI,Milwaukee
MLI, Quad City International, IL,Moline
MLU, Monroe Regional, LA,Monroe
MOB, Mobile Regional, AL,Mobile
MOT, Minot International, ND,Minot
MSN, Dane County Regional-Truax Field, WI,Madison
MSP, Minneapolis-St Paul International, MN,Minneapolis
MYR, Myrtle Beach International, SC,Myrtle Beach
OAJ, Albert J Ellis, NC,Jacksonville/Camp Lejeune
OMA, Eppley Airfield, NE,Omaha
ORD, Chicago O'Hare International, IL,Chicago
ORF, Norfolk International, VA,Norfolk
ORH, Worcester Regional, MA,Worcester
PIT, Pittsburgh International, PA,Pittsburgh
PVD, Theodore Francis Green State, RI,Providence
RDU, Raleigh-Durham International, NC,Raleigh/Durham
RIC, Richmond International, VA,Richmond
ROA, Roanoke Blacksburg Regional Woodrum Field, VA,Roanoke
ROC, Greater Rochester International, NY,Rochester
RST, Rochester International, MN,Rochester
SAV, Savannah/Hilton Head International, GA,Savannah
SBN, South Bend International, IN,South Bend
SDF, Louisville Muhammad Ali International, KY,Louisville
SGF, Springfield-Branson National, MO,Springfield
SHV, Shreveport Regional, LA,Shreveport
STL, St Louis Lambert International, MO,St. Louis
SYR, Syracuse Hancock International, NY,Syracuse
TLH, Tallahassee International, FL,Tallahassee
TRI, Tri Cities, TN,Bristol/Johnson City/Kingsport
TVC, Cherry Capital, MI,Traverse City
TYS, McGhee Tyson, TN,Knoxville
VLD, Valdosta Regional, GA,Valdosta
XNA, Northwest Arkansas Regional, AR,Fayetteville
ABQ, Albuquerque International Sunport, NM,Albuquerque
AMA, Rick Husband Amarillo International, TX,Amarillo
ANC, Ted Stevens Anchorage International, AK,Anchorage
AVP, Wilkes Barre Scranton International, PA,Scranton/Wilkes-Barre
BDL, Bradley International, CT,Hartford
BOI, Boise Air Terminal, ID,Boise
BUR, Bob Hope, CA,Burbank
BZN, Bozeman Yellowstone International, MT,Bozeman
COS, City of Colorado Springs Municipal, CO,Colorado Springs
DEN, Denver International, CO,Denver
DFW, Dallas/Fort Worth International, TX,Dallas/Fort Worth
EGE, Eagle County Regional, CO,Eagle
ELP, El Paso International, TX,El Paso
EUG, Mahlon Sweet Field, OR,Eugene
FAT, Fresno Yosemite International, CA,Fresno
FCA, Glacier Park International, MT,Kalispell
FLL, Fort Lauderdale-Hollywood International, FL,Fort Lauderdale
