,airport_code,airport_name,state,city
0,ABE, Lehigh Valley International, PA,Allentown/Bethlehem/Easton
1,ABY, Southwest Georgia Regional, GA,Albany
2,ACK, Nantucket Memorial, MA,Nantucket
3,AEX, Alexandria International, LA,Alexandria
4,AGS, Augusta Regional at Bush Field, GA,Augusta
5,ALB, Albany International, NY,Albany
6,ATL, Hartsfield-Jackson Atlanta International, GA,Atlanta
7,ATW, Appleton International, WI,Appleton
8,AUS, Austin - Bergstrom International, TX,Austin
9,AVL, Asheville Regional, NC,Asheville
10,AZO, Kalamazoo/Battle Creek International, MI,Kalamazoo
11,BGM, Greater Binghamton/Edwin A. Link Field, NY,Binghamton
12,BGR, Bangor International, ME,Bangor
13,BHM, Birmingham-Shuttlesworth International, AL,Birmingham
14,BMI, Central Il Regional Airport at Bloomington, IL,Bloomington/Normal
15,BNA, Nashville International, TN,Nashville
16,BOS, Logan International, MA,Boston
17,BQK, Brunswick Golden Isles, GA,Brunswick
18,BTR, Baton Rouge Metropolitan/Ryan Field, LA,Baton Rouge
19,BTV, Burlington International, VT,Burlington
20,BUF, Buffalo Niagara International, NY,Buffalo
21,BWI, Baltimore/Washington International Thurgood Marshall, MD,Baltimore
22,CAE, Columbia Metropolitan, SC,Columbia
23,CHA, Lovell Field, TN,Chattanooga
24,CHO, Charlottesville Albemarle, VA,Charlottesville
25,CHS, Charleston AFB/International, SC,Charleston
26,CID, The Eastern Iowa, IA,Cedar Rapids/Iowa City
27,CLE, Cleveland-Hopkins International, OH,Cleveland
28,CLT, Charlotte Douglas International, NC,Charlotte
29,CMH, John Glenn Columbus International, OH,Columbus
30,CRW, Yeager, WV,Charleston/Dunbar
31,CSG, Columbus Airport, GA,Columbus
32,CVG, Cincinnati/Northern Kentucky International, OH,Cincinnati
33,CWA, Central Wisconsin, WI,Mosinee
34,DAY, James M Cox/Dayton International, OH,Dayton
35,DCA, Ronald Reagan Washington National, DC,Washington
36,DHN, Dothan Regional, AL,Dothan
37,DLH, Duluth International, MN,Duluth
38,DSM, Des Moines International, IA,Des Moines
39,DTW, Detroit Metro Wayne County, MI,Detroit
40,EVV, Evansville Regional, IN,Evansville
41,EWR, Newark Liberty International, NJ,Newark
42,EYW, Key West International, FL,Key West
43,FAY, Fayetteville Regional/Grannis Field, NC,Fayetteville
44,FSD, Joe Foss Field, SD,Sioux Falls
45,FWA, Fort Wayne International, IN,Fort Wayne
46,GNV, Gainesville Regional, FL,Gainesville
47,GPT, Gulfport-Biloxi International, MS,Gulfport/Biloxi
48,GRR, Gerald R. Ford International, MI,Grand Rapids
49,GSO, Piedmont Triad International, NC,Greensboro/High Point
50,GSP, Greenville-Spartanburg International, SC,Greer
51,GTR, Golden Triangle Regional, MS,Columbus
52,HPN, Westchester County, NY,White Plains
53,ILM, Wilmington International, NC,Wilmington
54,IND, Indianapolis International, IN,Indianapolis
55,ITH, Ithaca Tompkins Regional, NY,Ithaca/Cortland
56,JFK, John F. Kennedy International, NY,New York
57,LAN, Capital Region International, MI,Lansing
58,LEX, Blue Grass, KY,Lexington
59,LFT, Lafayette Regional Paul Fournet Field, LA,Lafayette
60,LGA, LaGuardia, NY,New York
61,MBS, MBS International, MI,Saginaw/Bay City/Midland
62,MCI, Kansas City International, MO,Kansas City
63,MEM, Memphis International, TN,Memphis
64,MGM, Montgomery Regional, AL,Montgomery
65,MKE, General Mitchell International, WI,Milwaukee
66,MLI, Quad City International, IL,Moline
67,MLU, Monroe Regional, LA,Monroe
68,MOB, Mobile Regional, AL,Mobile
69,MOT, Minot International, ND,Minot
70,MSN, Dane County Regional-Truax Field, WI,Madison
71,MSP, Minneapolis-St Paul International, MN,Minneapolis
72,MYR, Myrtle Beach International, SC,Myrtle Beach
73,OAJ, Albert J Ellis, NC,Jacksonville/Camp Lejeune
74,OMA, Eppley Airfield, NE,Omaha
75,ORD, Chicago O'Hare International, IL,Chicago
76,ORF, Norfolk International, VA,Norfolk
77,ORH, Worcester Regional, MA,Worcester
78,PIT, Pittsburgh International, PA,Pittsburgh
79,PVD, Theodore Francis Green State, RI,Providence
80,RDU, Raleigh-Durham International, NC,Raleigh/Durham
81,RIC, Richmond International, VA,Richmond
82,ROA, Roanoke Blacksburg Regional Woodrum Field, VA,Roanoke
83,ROC, Greater Rochester International, NY,Rochester
84,RST, Rochester International, MN,Rochester
85,SAV, Savannah/Hilton Head International, GA,Savannah
86,SBN, South Bend International, IN,South Bend
87,SDF, Louisville Muhammad Ali International, KY,Louisville
88,SGF, Springfield-Branson National, MO,Springfield
89,SHV, Shreveport Regional, LA,Shreveport
90,STL, St Louis Lambert International, MO,St. Louis
91,SYR, Syracuse Hancock International, NY,Syracuse
92,TLH, Tallahassee International, FL,Tallahassee
93,TRI, Tri Cities, TN,Bristol/Johnson City/Kingsport
94,TVC, Cherry Capital, MI,Traverse City
95,TYS, McGhee Tyson, TN,Knoxville
96,VLD, Valdosta Regional, GA,Valdosta
97,XNA, Northwest Arkansas Regional, AR,Fayetteville
98,ABQ, Albuquerque International Sunport, NM,Albuquerque
99,AMA, Rick Husband Amarillo International, TX,Amarillo
100,ANC, Ted Stevens Anchorage International, AK,Anchorage
101,AVP, Wilkes Barre Scranton International, PA,Scranton/Wilkes-Barre
102,BDL, Bradley International, CT,Hartford
103,BOI, Boise Air Terminal, ID,Boise
104,BUR, Bob Hope, CA,Burbank
105,BZN, Bozeman Yellowstone International, MT,Bozeman
106,COS, City of Colorado Springs Municipal, CO,Colorado Springs
